date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:40	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2005%20Dec%202024%2022:22:43%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/robots.txt		(from )
03:52:40	75887/75887	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2014:27:12%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/indexba53.html	(from )
03:52:41	1771/1771	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ca82e05cd1cf93fadb44a4afa09197d2%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=rss2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/indexd784.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:41	1725/1725	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ca82e05cd1cf93fadb44a4afa09197d2%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=comments-rss2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/indexa6da.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:41	16384/16384	---M-Z	200	added ('OK')	text/css	etag:W/%22669948b9-4000%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/blocks/navigation/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/blocks/navigation/style.min9704.css	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:41	777/777	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%22ca82e05cd1cf93fadb44a4afa09197d2%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=rss2&page_id=2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index76cc.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:43	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery.minf43b.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:44	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:45	189908/189908	---MCZ	200	added ('OK')	application/json	date:Thu,%2005%20Dec%202024%2022:22:48%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=/	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index52f0.json	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:47	5164/5164	---MCZ	200	added ('OK')	application/json	date:Thu,%2005%20Dec%202024%2022:22:50%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=/wp/v2/pages/2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index2c39.json	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:48	974/974	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Dec%202024%2022:22:51%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/xmlrpc.php?rsd	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/xmlrpc0db0.php	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Dec%202024%2022:22:52%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/?p=2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index905b.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:49	2168/2168	---MCZ	200	added ('OK')	application/json	date:Thu,%2005%20Dec%202024%2022:22:52%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fjackfirst-bcb76a.ingress-florina.ewp.live%2F%3Fpage_id%3D2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index89d8.json	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:50	2332/2332	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Dec%202024%2022:22:54%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fjackfirst-bcb76a.ingress-florina.ewp.live%2F%3Fpage_id%3D2&format=xml	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index49b7.php	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:52	3300/3300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22674d6df8-ce4%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/dist/script-modules/block-library/navigation/view.min.js?ver=8ff192874fc8910a284c	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/dist/script-modules/block-library/navigation/view.minf7ab.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:53	36695/36695	---M-Z	200	added ('OK')	application/javascript	etag:W/%22674d6df8-8f57%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/dist/script-modules/interactivity/index.min.js?ver=06b8f695ef48ab2d9277	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/dist/script-modules/interactivity/index.min563f.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:56	326628/326628	---M--	200	added ('OK')	font/woff2	etag:%2265130ade-4fbe4%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:56	146060/146060	---M--	200	added ('OK')	font/woff2	etag:%2265130ade-23a8c%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:57	105184/105184	---M--	200	added ('OK')	font/woff2	etag:%2265130ade-19ae0%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:58	132564/132564	---M--	200	added ('OK')	font/woff2	etag:%2265130ade-205d4%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:52:59	82356/82356	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2014:59:46%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/index.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:53:00	712/712	---M-Z	200	added ('OK')	application/javascript	etag:W/%226751b545-2c8%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/plugins/tokenico-cryptocurrency-token-launchpad-presale-ico-ido-airdrop/assets/js/main.js?ver=2.0.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/plugins/tokenico-cryptocurrency-token-launchpad-presale-ico-ido-airdrop/assets/js/main7406.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:53:01	6708/6708	---MCZ	200	added ('OK')	text/css	etag:W/%22674d6df9-1a34%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/blocks/image/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/blocks/image/style.min9704.css	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/)
03:53:02	15277518/15277518	---M-Z	200	added ('OK')	application/javascript	etag:W/%226751b545-e91dce%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/plugins/tokenico-cryptocurrency-token-launchpad-presale-ico-ido-airdrop/assets/js/app.js?ver=2.0.1	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/plugins/tokenico-cryptocurrency-token-launchpad-presale-ico-ido-airdrop/assets/js/app7406.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:53:04	199724/199724	---M--	200	added ('OK')	image/webp	etag:%22651d9aa2-30c2c%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp	C:/My%20Web%20Sites/PRE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/)
